"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2024","24,192.95","24,343.30","24,335.55","24,130.40","230.69M","-0.12%"
"11/25/2024","24,221.90","24,253.55","24,351.55","24,135.45","687.17M","1.32%"
"11/22/2024","23,907.25","23,411.80","23,956.10","23,359.00","367.56M","2.39%"
"11/21/2024","23,349.90","23,488.45","23,507.30","23,263.15","420.33M","-0.72%"
"11/19/2024","23,518.50","23,529.55","23,780.65","23,464.80","297.48M","0.28%"
"11/18/2024","23,453.80","23,605.30","23,606.80","23,350.40","263.31M","-0.34%"
"11/14/2024","23,532.70","23,542.15","23,675.90","23,484.15","257.71M","-0.11%"
"11/13/2024","23,559.05","23,822.45","23,873.60","23,509.60","304.57M","-1.36%"
"11/12/2024","23,883.45","24,225.80","24,242.00","23,839.15","255.83M","-1.07%"
"11/11/2024","24,141.30","24,087.25","24,336.80","24,004.60","273.37M","-0.03%"
"11/08/2024","24,148.20","24,207.70","24,276.15","24,066.65","298.72M","-0.21%"
"11/07/2024","24,199.35","24,489.60","24,503.35","24,179.05","322.19M","-1.16%"
"11/06/2024","24,484.05","24,308.75","24,537.60","24,204.05","351.08M","1.12%"
"11/05/2024","24,213.30","23,916.50","24,229.05","23,842.75","289.51M","0.91%"
"11/04/2024","23,995.35","24,315.75","24,316.75","23,816.15","285.53M","-1.27%"
"11/01/2024","24,304.35","24,302.75","24,368.25","24,280.20","38.81M","0.41%"
"10/31/2024","24,205.35","24,349.85","24,372.45","24,172.60","287.01M","-0.56%"
"10/30/2024","24,340.85","24,371.45","24,498.20","24,307.30","285.20M","-0.51%"
"10/29/2024","24,466.85","24,328.85","24,484.50","24,140.85","332.04M","0.52%"
"10/28/2024","24,339.15","24,251.10","24,492.60","24,134.90","278.56M","0.65%"